Data set,L_min,Species,Lambda,s*,L_mu
Zebrafish,Zebrafish,17.232531112,42.962370136198935,13.853481028195787,8.700519809237848
Axolotl Dataset 1,Axolotl,77.3914609980186,80.37572481654615,15.078637706358949,66.66170292997273
Axolotl Dataset 1,Axolotl,77.6,147.89532926407873,16.03103337580583,61.823343506909566
C elegans full,C. elegans,14.24999811172488,6.601566293250796,5.511160095413963,13.739384796758637
Dreissena,Dreissena,57.8571428571429,31.11337926614305,5.364556962025315,44.6989150090417
Drosophila Study 1,Drosophila,7.8,19.49847599833667,14.08222223696762,3.079029726510334
Drosophila Study 1,Drosophila,9.9,23.617529489518148,14.453335709415763,4.996626098077103
Drosophila Study 1,Drosophila,7.11974110032362,53.575014214353644,15.985286547806236,-1.7524086280244238
Nematostella,Nematostella,45.08962264150939,54.1841279180462,11.877774780180772,39.83343621055613
Sea urchin,Sea urchin,39.4,41.80581941602971,9.422993141545799,32.514064127759724
Xenopus Study 1,Xenopus,31.4,62.78001228467798,14.7799253046258,27.181369201018544
Xenopus Study 1,Xenopus,30.6,105.4533527648967,15.552227107385564,16.234683460709313
